Summary,Issue key,Project name,Assignee,Creator,Original Estimate,Original Estimate Days,Time Spent,Time Spent Days,Work Ratio,Custom field (Budget),Custom field (Epic Link),Custom field (Epic Name),Custom field (Product),Sprint,Custom field (Teams)
Funda- normalization function,CPB-820,CPB,anatm,gala,,0,57600,2,,P276 - CTO Architecture (CPB),,,CPB,1 Jan 23,Algo
Analyze selected CORBAC runs Algo DEC 2022,MIC-688,MicroBoost,anatm,anatol,86400,3,86400,3,100%,P265 - CSO microbials (CSO/Product),MIC-563,,MicroBoost,1 Jan 23,Algo
CLONE - Analyze selected CORBAC runs Algo Jan 2023,MIC-707,MicroBoost,anatm,drorf,28800,1,28800,1,100%,P265 - CSO microbials (CSO/Product),MIC-563,,MicroBoost,1 Jan 23,Algo
Add repair prediction for LocalGoGenome,CRIS-380,CrisprIL,anatm,erane,115200,4,115200,4,100%,P277 - CrisprIL_WP1 (CRISPR) (2023),CRIS-376,,Generator,1 Jan 23,Algo
add LOGO for regression in EvoML ,CRIS-395,CrisprIL,anatm,erane,86400,3,57600,2,66%,P277 - CrisprIL_WP1 (CRISPR) (2023),CRIS-376,,Generator,1 Jan 23,Algo
Local GoGenome - gRNAs on target max CFD and primers DEC22,CRIS-370,CrisprIL,anatm,erane,144000,5,403200,14,280%,P277 - CrisprIL_WP1 (CRISPR) (2023),CRIS-376,,Generator,1 Jan 23,Algo
add repair prediction for plants in Gogenome,CRIS-379,CrisprIL,anatm,erane,86400,3,144000,5,166%,P277 - CrisprIL_WP1 (CRISPR) (2023),CRIS-376,,Generator,1 Jan 23,Algo
CLONE - Local GoGenome - gRNAs on target max CFD and primers JAN23,CRIS-397,CrisprIL,anatm,sharonl,403200,14,403200,14,100%,P277 - CrisprIL_WP1 (CRISPR) (2023),CRIS-376,,Generator,1 Jan 23,Algo
add primers information for LocalGoGenome,CRIS-378,CrisprIL,anatm,erane,144000,5,374400,13,260%,P277 - CrisprIL_WP1 (CRISPR) (2023),CRIS-376,,Generator,1 Feb 23,Algo
Summarize DL predict and Tomato repair model,CRIS-410,CrisprIL,anatm,nira,57600,2,28800,1,50%,P277 - CrisprIL_WP1 (CRISPR) (2023),CRIS-376,,Generator,1 Mar 23,Algo
Pareto rewrite into Airflow March,CHEM-622,ChemPass,anatm,robertoo,230400,8,144000,5,62%,P264 - CSO small molecules (CSO/Product),CHEM-595,,ChemPass,1 Mar 23,Algo
Customizing library screening using DeepDock (after model creation) - cloned,CHEM-569,ChemPass,anatm,robertoo,144000,5,316800,11,220%,P264 - CSO small molecules (CSO/Product),CHEM-595,,ChemPass,1 Mar 23,Algo
Customizing library screening using DeepDock (after model creation) .April,CHEM-654,ChemPass,anatm,hamutal.e,86400,3,144000,5,166%,P264 - CSO small molecules (CSO/Product),CHEM-595,,ChemPass,1 Apr 23,Algo
Pareto - modifications after QA- Algo,CHEM-665,ChemPass,anatm,hamutal.e,,0,14400,0.5,,P264 - Product-CP (Chempass 2023),CHEM-595,,ChemPass,1 Apr 23,Algo
Transfering the immuno-oncology microbiome-based machine-learning classifier constructed per Biomica?s request - April,BIOM-247,Biomica,anatm,nira,201600,7,115200,4,57%,P255 - IBD (Biomica 2023),,,CPB,1 Apr 23,Algo
CorBac run Failure - QA for LAV-470,MIC-856,MicroBoost,anatm,anatol,0,0,14400,0.5,9223372036854770000%,P271 - CPB Upkeep Computational (2023),MIC-742,,MicroBoost,1 May 23,Algo
Forester user list with GTDB ,MIC-847,MicroBoost,anatm,anatol,28800,1,86400,3,300%,P271 - CPB Upkeep Computational (2023),MIC-715,,MicroBoost,1 May 23,Algo
 a bug in deepdock_predict ,CHEM-711,ChemPass,anatm,hamutal.e,,0,64800,2.25,,P274 - Product- Upkeep CP  (2023),CHEM-173,,ChemPass,1 May 23,Algo
Transfering the immuno-oncology microbiome-based machine-learning classifier constructed per Biomica?s request - May,BIOM-261,Biomica,anatm,drorf,201600,7,223200,7.75,110%,P255 - IBD (Biomica 2023),,,CPB,1 May 23,Algo
email message following Forester failed runs,MIC-850,MicroBoost,anatm,anatol,14400,0.5,28800,1,200%,P265 - Product- MB (Microboost 2023),MIC-715,,MicroBoost,1 Jun 23,Algo
CLONE - Forester - All StrainDB option (BIOMICA UI),MIC-907,MicroBoost,anatm,elanitec,57600,2,18000,0.625,31%,P265 - Product- MB (Microboost 2023),MIC-715,,MicroBoost,1 Jun 23,Algo
EvoDL adjustments,CPB-994,CPB,anatm,robertoo,86400,3,86400,3,100%,P271 - CPB Upkeep Computational (2023),,,CPB,1 Jun 23,Algo
De novo design - literature search,CHEM-697,ChemPass,anatm,hamutal.e,144000,5,147600,5.125,102%,P264 - Product-CP (Chempass 2023),CHEM-633,,ChemPass,1 Jun 23,Algo
Unconstrained MolGPT,CHEM-744,ChemPass,anatm,hamutal.e,230400,8,230400,8,100%,P264 - Product-CP (Chempass 2023),CHEM-633,,ChemPass,1 Jun 23,Algo
Implement use of DB instead of acc2name to replace RefSeq or GenBank assembly accession in GTDB based tree,MIC-865,MicroBoost,anatm,larisar,144000,5,86400,3,60%,P273 - Product- Upkeep MB  (2023),MIC-742,,MicroBoost,1 Jun 23,Algo
Adding All Public productions option to Forester (LavieBio),MIC-823,MicroBoost,anatm,anatol,144000,5,144000,5,100%,P265 - Product- MB (Microboost 2023),MIC-715,,MicroBoost,1 May 23,Algo
Unconstrained MolGPT,CHEM-235,ChemPass,anatm,michalslu,432000,15,316800,11,73%,P264 - CSO small molecules (CSO/Product),CHEM-633,,ChemPass,1 Jul 23,Algo
Add Castor Bean  genome to genome editing tool,CPB-1032,CPB,anatm,Iliaz,57600,2,57600,2,100%,P279 - CPB projects Computational (CPB 2023),,,CPB,1 Jul 23,Algo
Delftia_tsuruhatensis_GCF_001571325.1_23v1 caused a Forester run failure,MIC-817,MicroBoost,iliab,anatol,,0,57600,2,,P273 - Product- Upkeep MB  (2023),MIC-708,,MicroBoost,1 Apr 23,Algo
Model for essentiality prediction - Dec22,CHEM-544,ChemPass,itair,michalslu,288000,10,86400,3,30%,P264 - CSO small molecules (CSO/Product),CHEM-519,,ChemPass,1 Dec 22,Algo
Evocogs on the fly loader,CPB-819,CPB,itair,gala,57600,2,57600,2,100%,P279 - CPB projects Computational (CPB 2023),CPB-762,,CPB,1 Jan 23,Algo
Clustering rewrite into Airflow,CHEM-563,ChemPass,itair,robertoo,230400,8,460800,16,200%,P264 - CSO small molecules (CSO/Product),CHEM-595,,ChemPass,1 Jan 23,Algo
CPBC UPKEEP: POINTHIT code rewrite - Glide rewrite,CHEM-565,ChemPass,itair,robertoo,57600,2,144000,5,250%,P264 - CSO small molecules (CSO/Product),CHEM-595,,ChemPass,1 Jan 23,Algo
CPBC UPKEEP: POINTHIT code rewrite - Phase_Search rewrite,CHEM-568,ChemPass,itair,robertoo,201600,7,374400,13,185%,P264 - CSO small molecules (CSO/Product),CHEM-595,,CPB,1 Feb 23,Algo
CLONE - CPBC UPKEEP: POINTHIT code rewrite - Glide rewrite,CHEM-613,ChemPass,itair,robertoo,86400,3,172800,6,200%,P264 - CSO small molecules (CSO/Product),CHEM-595,,ChemPass,1 Feb 23,Algo
CLONE - CPBC UPKEEP: POINTHIT code rewrite - Phase_Search rewrite - MARCH,CHEM-628,ChemPass,itair,itair,201600,7,259200,9,128%,P264 - CSO small molecules (CSO/Product),CHEM-595,,CPB,1 Mar 23,Algo
CPBC UPKEEP: POINTHIT code rewrite - Close Point-Hit DAG,CHEM-559,ChemPass,itair,robertoo,57600,2,144000,5,250%,P264 - CSO small molecules (CSO/Product),CHEM-595,,CPB,1 Mar 23,Algo
Data Integration- Algo,CHEM-600,ChemPass,itair,alinsb,57600,2,57600,2,100%,P264 - Product-CP (Chempass 2023),CHEM-595,,ChemPass,1 Mar 23,Algo
CLONE - Customizing library screening using DeepDock (after model creation)-cloned,CHEM-636,ChemPass,itair,robertoo,72000,2.5,72000,2.5,100%,P264 - CSO small molecules (CSO/Product),CHEM-595,,ChemPass,1 Mar 23,Algo
Clustering- modifications after QA- algo,CHEM-608,ChemPass,itair,alinsb,28800,1,14400,0.5,50%,P264 - Product-CP (Chempass 2023),CHEM-595,,ChemPass,1 Feb 23,Algo
Monitoring system- Algo,CHEM-643,ChemPass,itair,alinsb,86400,3,14400,0.5,16%,P264 - Product-CP (Chempass 2023),,,ChemPass,1 Apr 23,Algo
Pointhit POC support-Algo,CHEM-639,ChemPass,itair,alinsb,86400,3,82800,2.875,95%,P264 - Product-CP (Chempass 2023),CHEM-595,,ChemPass,1 Apr 23,Algo
Scaling evocogs_build_with_ko ,CPB-967,CPB,itair,iliab,86400,3,86400,3,100%,P279 - CPB projects Computational (CPB 2023),CPB-880,,CPB,1 May 23,Algo
?EvoCOG on the fly update for ~8000 genomes QA,CPB-973,CPB,itair,iliab,57600,2,28800,1,50%,P279 - CPB projects Computational (CPB 2023),MIC-725,,CPB,1 May 23,Algo
Neighborhood View - data to be prepared by Algo,MIC-843,MicroBoost,itair,anatol,144000,5,129600,4.5,90%,P265 - Product- MB (Microboost 2023),MIC-839,,MicroBoost,1 May 23,Algo
CLONE - Identify Plasmids- DL - May,CPB-961,CPB,itair,robertoo,144000,5,259200,9,180%,P279 - CPB projects Computational (CPB 2023),CPB-880,,CPB,1 May 23,Algo
CLONE - Understanding Strain Comparison,CI-9,CPBC Internal,itair,elanitec,43200,1.5,172800,6,400%,P82 - ICL (Lavie 2023),,,CPB,1 May 23,Algo
Identify Plasmids- DL,CPB-885,CPB,itair,gala,288000,10,262800,9.125,91%,P279 - CPB projects Computational (CPB 2023),CPB-880,,CPB,1 Apr 23,Algo
evocogs on the fly,CPB-943,CPB,itair,gala,28800,1,14400,0.5,50%,P279 - CPB projects Computational (CPB 2023),CPB-880,,CPB,1 Mar 23,Algo
Target selection,CHEM-713,ChemPass,itair,nira,201600,7,216000,7.5,107%,P264 - Product-CP (Chempass 2023),CHEM-519,,ChemPass,1 Jun 23,Algo
t-SNE tool development - Algo ,CHEM-700,ChemPass,itair,hamutal.e,86400,3,100800,3.5,116%,P264 - Product-CP (Chempass 2023),CHEM-699,,ChemPass,1 Jun 23,Algo
CLONE - Focused PointHit / Standalone mode - mod DAG,CHEM-735,ChemPass,itair,robertoo,86400,3,14400,0.5,16%,P264 - Product-CP (Chempass 2023),CHEM-708,,ChemPass,1 Jun 23,Algo
Neighborhood View - Algo support for Dev,MIC-873,MicroBoost,itair,larisar,86400,3,158400,5.5,183%,P265 - Product- MB (Microboost 2023),MIC-839,,MicroBoost,1 Jun 23,Algo
Focused PointHit / Standalone Mode - Modifications after QA,CHEM-747,ChemPass,itair,hamutal.e,28800,1,14400,0.5,50%,P264 - Product-CP (Chempass 2023),CHEM-708,,ChemPass,1 Jul 23,Algo
Run Reseq on castor bean genome,CPB-1030,CPB,itair,Iliaz,86400,3,43200,1.5,50%,P279 - CPB projects Computational (CPB 2023),,,CPB,1 Jul 23,Algo
CLONE - De novo design - RA score prediction .Jul 2023,CHEM-729,ChemPass,itair,hamutal.e,288000,10,28800,1,10%,P264 - Product-CP (Chempass 2023),CHEM-633,,ChemPass,1 Jul 23,Algo
Neighborhood View - Algo support for Dev Jul-2023,MIC-912,MicroBoost,itair,larisar,57600,2,28800,1,50%,P265 - Product- MB (Microboost 2023),MIC-839,,MicroBoost,1 Jul 23,Algo
Clustering- modifications after QA-Dev,CHEM-609,ChemPass,nerias,alinsb,28800,1,28800,1,100%,P264 - Product-CP (Chempass 2023),CHEM-595,,ChemPass,1 Feb 23,Algo
Vendor availability / minor changes,CHEM-587,ChemPass,robertoo,hamutal.e,28800,1,28800,1,100%,P264 - CSO small molecules (CSO/Product),CHEM-595,,ChemPass,1 Jan 23,Algo
Enamine REAL update - Jan23,CHEM-585,ChemPass,robertoo,hamutal.e,28800,1,10800,0.375,37%,P264 - CSO small molecules (CSO/Product),CHEM-595,,ChemPass,1 Jan 23,Algo
New molecules are added to CHEMUNITY and unavailable are removed.,CHEM-564,ChemPass,robertoo,robertoo,115200,4,14400,0.5,12%,P264 - CSO small molecules (CSO/Product),CHEM-595,,ChemPass,1 Jan 23,Algo
CLONE -  CPBC UPKEEP: POINTHIT code rewrite basic packages,CHEM-614,ChemPass,robertoo,robertoo,86400,3,86400,3,100%,P264 - CSO small molecules (CSO/Product),CHEM-595,,ChemPass,1 Feb 23,Algo
CPBC UPKEEP: POINTHIT code rewrite - Interaction filter rewrite,CHEM-567,ChemPass,robertoo,robertoo,115200,4,175680,6.1,152%,P264 - CSO small molecules (CSO/Product),CHEM-595,,ChemPass,1 Feb 23,Algo
CLONE - CPBC UPKEEP: POINTHIT code rewrite first milestone,CHEM-570,ChemPass,robertoo,robertoo,28800,1,57600,2,200%,P264 - CSO small molecules (CSO/Product),CHEM-595,,CPB,1 Jan 23,Algo
 CPBC UPKEEP: POINTHIT code rewrite basic packages,CHEM-573,ChemPass,robertoo,sharonl,28800,1,21600,0.75,75%,P264 - CSO small molecules (CSO/Product),CHEM-595,,ChemPass,1 Jan 23,Algo
CPBC UPKEEP: POINTHIT code rewrite - Cavity filter and Toxicity filter rewrite - cloned,CHEM-560,ChemPass,robertoo,robertoo,115200,4,97200,3.375,84%,P264 - CSO small molecules (CSO/Product),CHEM-595,,ChemPass,1 Feb 23,Algo
CLONE - New molecules are added to CHEMUNITY and unavailable are removed.,CHEM-612,ChemPass,robertoo,robertoo,115200,4,81360,2.825,70%,P264 - CSO small molecules (CSO/Product),CHEM-595,,ChemPass,1 Feb 23,Algo
CLONE - CPBC UPKEEP: POINTHIT code rewrite - Cavity filter and Toxicity filter rewrite - Mar 2023,CHEM-626,ChemPass,robertoo,hamutal.e,28800,1,28800,1,100%,P264 - CSO small molecules (CSO/Product),CHEM-595,,ChemPass,1 Mar 23,Algo
CLONE - CPBC UPKEEP: Ligand Preparation code rewrite - Feb2023,CHEM-611,ChemPass,robertoo,robertoo,57600,2,115200,4,200%,P264 - CSO small molecules (CSO/Product),CHEM-595,,ChemPass,1 Mar 23,Algo
PointHit config modifications after QA- algo after Dev,CHEM-632,ChemPass,robertoo,alinsb,,0,7200,0.25,,P264 - Product-CP (Chempass 2023),CHEM-595,,ChemPass,1 Mar 23,Algo
Evolve did not find a structure for a protein with solved structure on PDB,GEN-101,Generator,robertoo,inbarp,,0,28800,1,,P277 - CrisprIL_WP1 (CRISPR) (2023),,,Generator,,Algo
CLONE - CPBC UPKEEP: Ligand Preparation code rewrite - Jan2023,CHEM-576,ChemPass,robertoo,robertoo,86400,3,14400,0.5,16%,P264 - CSO small molecules (CSO/Product),CHEM-595,,ChemPass,1 Jan 23,Algo
 New molecules are added to CHEMUNITY and unavailable are removed. March - cloned,CHEM-624,ChemPass,robertoo,robertoo,57600,2,45360,1.575,78%,P264 - CSO small molecules (CSO/Product),CHEM-595,,ChemPass,1 Mar 23,Algo
CPBC UPKEEP: Active Search DAG finalization ,CHEM-572,ChemPass,robertoo,robertoo,230400,8,244800,8.5,106%,P264 - CSO small molecules (CSO/Product),CHEM-595,,CPB,1 Mar 23,Algo
Vendor availabilty (minor changes) after QA- algo. April,CHEM-651,ChemPass,robertoo,hamutal.e,14400,0.5,10800,0.375,75%,P264 - Product-CP (Chempass 2023),CHEM-595,,ChemPass,1 Apr 23,Algo
New molecules are added to CHEMUNITY and unavailable are removed. April,CHEM-650,ChemPass,robertoo,hamutal.e,28800,1,104400,3.625,362%,P264 - CSO small molecules (CSO/Product),CHEM-595,,ChemPass,1 Apr 23,Algo
CPBC UPKEEP: Active Search DAG finalization - fixes,CHEM-662,ChemPass,robertoo,robertoo,57600,2,115200,4,200%,P264 - CSO small molecules (CSO/Product),CHEM-595,,CPB,1 Apr 23,Algo
Ag Models,CHEM-648,ChemPass,robertoo,hamutal.e,288000,10,39600,1.375,13%,P264 - CSO small molecules (CSO/Product),CHEM-682,,ChemPass,1 Apr 23,Algo
DeepDock - modifications after QA - Algo,CHEM-677,ChemPass,robertoo,hamutal.e,28800,1,10800,0.375,37%,P264 - Product-CP (Chempass 2023),CHEM-595,,ChemPass,1 May 23,Algo
ActiveSearch- modifications after QA- Algo,CHEM-676,ChemPass,robertoo,alinsb,28800,1,28800,1,100%,P264 - Product-CP (Chempass 2023),CHEM-595,,ChemPass,1 May 23,Algo
CLONE - Pointhit POC support-Algo1,CHEM-685,ChemPass,robertoo,robertoo,57600,2,50400,1.75,87%,P264 - Product-CP (Chempass 2023),CHEM-595,,ChemPass,1 May 23,Algo
CLONE - Ag Models - May,CHEM-668,ChemPass,robertoo,robertoo,144000,5,336960,11.7,233%,P264 - CSO small molecules (CSO/Product),CHEM-682,,ChemPass,1 May 23,Algo
Plan CHEM_DBupdate rewrite,CPB-962,CPB,robertoo,robertoo,57600,2,32400,1.125,56%,P271 - CPB Upkeep Computational (2023),,,ChemPass,1 May 23,Algo
Active Search - output modifications,CHEM-710,ChemPass,robertoo,hamutal.e,14400,0.5,10860,0.377083333,75%,P264 - Product-CP (Chempass 2023),CHEM-708,,ChemPass,1 Jun 23,Algo
Single molecule run - Roberto,AG-1177,AgPlenus,robertoo,hamutal.e,,0,14400,0.5,,P23 - Herbicides (AgPlenus) (2023),,,ChemPass,1 Apr 23,Algo
Single molecule run error ,AG-1163,AgPlenus,robertoo,hamutal.e,,0,12600,0.4375,,P271 - CPB Upkeep Computational (2023),,,ChemPass,1 Feb 23,Algo
CLONE - Production report job ID 1674721723060 failed,LAV-445,LavieBio,robertoo,elanitec,0,0,1800,0.0625,9223372036854770000%,P271 - CPB Upkeep Computational (2023),,,MicroBoost,1 Jan 23,Algo
Single molecule run error,AG-1151,AgPlenus,robertoo,dafnam,,0,32400,1.125,,P271 - CPB Upkeep Computational (2023),,,ChemPass,1 Jan 23,Algo
De novo design - literature search,CHEM-646,ChemPass,robertoo,hamutal.e,288000,10,208800,7.25,72%,P21 - agPlenus Tech (2023),CHEM-633,De Novo Design,ChemPass,1 Jun 23,Algo
Virtual libraries update (cloned),CHEM-704,ChemPass,robertoo,hamutal.e,57600,2,21600,0.75,37%,P264 - Product-CP (Chempass 2023),CHEM-703,,ChemPass,1 Jun 23,Algo
Focused PointHit / Standalone mode,CHEM-719,ChemPass,robertoo,hamutal.e,115200,4,28800,1,25%,P264 - Product-CP (Chempass 2023),CHEM-708,,ChemPass,1 Jun 23,Algo
Running AiZynthFinder on a batch -cloned,CHEM-723,ChemPass,robertoo,hamutal.e,86400,3,86400,3,100%,P21 - agPlenus Tech (2023),CHEM-633,,ChemPass,1 Jun 23,Algo
CLONE - Running AiZynthFinder on a batch .July 2023,CHEM-732,ChemPass,robertoo,hamutal.e,57600,2,79920,2.775,138%,P264 - Product-CP (Chempass 2023),CHEM-633,,ChemPass,1 Jul 23,Algo
Fingerprints addition and Similarity function .Jul 23,CHEM-733,ChemPass,robertoo,hamutal.e,144000,5,147600,5.125,102%,P264 - Product-CP (Chempass 2023),CHEM-703,,ChemPass,1 Jul 23,Algo
Fingerprints and similarity metric modifications in Active search ,CHEM-748,ChemPass,robertoo,hamutal.e,86400,3,57600,2,66%,P264 - Product-CP (Chempass 2023),CHEM-703,,ChemPass,1 Jul 23,Algo
Unconstrained MolGPT - Comp Chem -cloned,CHEM-734,ChemPass,robertoo,hamutal.e,144000,5,24480,0.85,17%,P264 - Product-CP (Chempass 2023),CHEM-633,,ChemPass,1 Jul 23,Algo
CLONE - Virtual libraries update .July -cloned,CHEM-727,ChemPass,robertoo,hamutal.e,57600,2,72000,2.5,125%,P264 - Product-CP (Chempass 2023),CHEM-703,,ChemPass,1 Jul 23,Algo
Forester fails to run - QA tasks CI-8 and CI-11,MIC-857,MicroBoost,anatm,elanitec,,0,36000,1.25,,P271 - CPB Upkeep Computational (2023),MIC-742,,MicroBoost,1 May 23,Dev
UPKEEP: Evocogs loaders maintenance - Jan23,CPB-732,CPB,duduz,duduz,57600,2,57600,2,100%,P279 - CPB projects Computational (CPB 2023),CPB-762,,CPB,1 Jan 23,Dev
Interpro loader - Code review,CPB-777,CPB,duduz,duduz,28800,1,7200,0.25,25%,P279 - CPB projects Computational (CPB 2023),CPB-762,,MicroBoost,1 Jan 23,Dev
IGV not responding,LAV-438,LavieBio,duduz,osnate,0,0,3600,0.125,9223372036854770000%,P19 - BioStimulants internal (LavieBio),,,MicroBoost,1 Jan 23,Dev
CLONE - DB and files inconsistently solution - Dev - Jan,CPB-833,CPB,duduz,duduz,86400,3,288000,10,333%,P279 - CPB projects Computational (CPB 2023),CPB-762,,CPB,1 Jan 23,Dev
